LOINC_NUM	SYSTEM	SCALE_TYP	SOURCE	SURVEY_QUEST_SRC	UNITSREQUIRED	SHORTNAME	EXAMPLE_UCUM_UNITS
34497-8	Bld/Tiss	Nar	PHS		N	SPINK1 gene Mut Anal Bld/T	
34498-6	Bld/Tiss	Nar	PHS		N	ACADS gene Mut Anal Bld/T	
34499-4	Bld/Tiss	Nar	PHS		N	GPC3 gene Mut Anal Bld/T	
34500-9	Bld/Tiss	Nar	PHS		N	SHOX gene Mut Anal Bld/T	
34501-7	Bld/Tiss	Nar	PHS		N	HADHA g.G1528C Mut Anal Bld/T	
34502-5	Bld/Tiss	Nar	PHS		N	VHL gene Mut Anal Bld/T	
34503-3	Bld/Tiss	Ord	PHS		N	Chrom15 UpDi Bld/T Ql	
3450-4	Ser/Plas	Qn			Y	Ceftizoxime SerPl-mCnc	
34504-1	Bld/Tiss	Nar	PHS		N	GJB6 gene Mut Anal Bld/T	
34505-8	Bld/Tiss	Nar	PHS		N	NPDC gene Mut Anal Bld/T	
34506-6	Bld/Tiss	Nar	PHS		N	EGR2 gene Mut Anal Bld/T	
34507-4	Bld/Tiss	Nar	PHS		N	PRX gene Mut Anal Bld/T	
34508-2	Bld/Tiss	Nar	PHS		N	PANK2 gene Mut Anal Bld/T	
34509-0	Bld/Tiss	Nar	PHS		N	UGT1A1 gene Mut Anal Bld/T	
34510-8	Bld/Tiss	Nar	PHS		N	SDHB gene Mut Anal Bld/T	
34511-6	Bld/Tiss	Nar	PHS		N	SDHD gene Mut Anal Bld/T	
3451-2	Ser/Plas	Qn			Y	Ceftriaxone SerPl-mCnc	
34512-4	Bld/Tiss	Nar	PHS		N	NPHS1 gene Mut Anal Bld/T	
34513-2	Body fld	Nar	PHS		N	NPHS1 gene Mut Anal Fld	
34514-0	Bld/Tiss	Nar	PHS		N	SLC22A18 gene Mut Anal Bld/T	
34515-7	Bld/Tiss	Nar	PHS		N	GLA gene Mut Anal Bld/T	
34516-5	Bld/Tiss	Nar	PHS		N	SPAST gene Mut Anal Bld/T	
34517-3	Bld/Tiss	Nar	PHS		N	CATCH22 gene Mut Anal Bld/T	
34518-1	Bld/Tiss	Nar	PHS		N	SMPD1 gene Mut Anal Bld/T	
34519-9	Bld/Tiss	Nar	PHS		N	HFE gene Mut Anal Bld/T	
3452-0	Ser/Plas	Qn			Y	Cefuroxime Parenter SerPl-mCnc	
34520-7	BldCo	Qn	PHS		N	CO2 BldCo-sCnc	mmol/L
34521-5	Tiss	Qn	PHS		N	Carnitine AcT Tiss-cCnt	
34522-3	RBC	Qn	PHS		N	PhK RBC-cCnc	
34523-1	WBC	Qn	PHS		N	SSADH WBC-cCnt	pmol/min/mg{protein}
34524-9	Bld	Ord	PHS		N	Neuts Band Bld Ql Auto	
34525-6	Bld	Ord	PHS		N	rstRBC Bld Ql Auto	
34526-4	Urine	Qn	PHS		N	Sialooligosacch/Creat Ur-Rto	nmol/mg{creat}
34535-5	Urine	Qn	CJM		N	Microalbumin/Creat ratio pnl Ur	
34536-3	^Patient	-	CJM		N	Fluid IO Pnl 24H	
34537-1	^Patient	-	CJM		N	Fluid IO Pnl 8H	
3453-8	Ser/Plas	Qn	AF		Y	Cephalexin SerPl-mCnc	
34538-9	Arterial system	Qn	CJM		N	Orthostatic BP	
34539-7	Urine	Qn	CJM		N	Prot Elph Pnl Ur Elph	
34540-5	Ser/Plas	Qn	CJM		N	Phenytoin Free+Total Pnl SerPl-mCnc	
34541-3	Ser/Plas	-	CJM		N	ACTH Stim IM Pnl SerPl	
34542-1	Ser/Plas	-	CJM		N	ACTH Stim IV Pnl SerPl	
34543-9	Ser/Plas	Qn	CJM		N	Bilirubin Direct+Tot Pnl SerPl-mCnc	
34544-7	Ser/Plas	Qn	CJM		N	Comp C3 + C4 Pnl SerPl-mCnc	
34545-4	Ser/Plas	Qn	CJM		N	Carbamazepine free+tot Pnl SerPl-mCnc	
3454-6	Ser/Plas	Qn			Y	Cephalothin SerPl-mCnc	
34546-2	CSF	Qn	CJM		N	Prot + Glucose Pnl CSF-mCnc	
34547-0	Ser/Plas	Qn	CJM		N	Comp Profile Pnl SerPl-mCnc	
34548-8	Ser/Plas	Qn	CJM		N	Sodium + Potassium Pnl SerPl-sCnc	
34549-6	Ser/Plas	Qn	CJM		N	FSH + LH Pnl SerPl-aCnc	
34550-4	Ser	Qn	CJM		N	Immunoglobulin Pnl Ser-mCnc	
34551-2	Plas	Qn	CJM		N	Catecholamines 3 Pnl Plas-mCnc	
34552-0	^Patient	-	CJM		N	2D Echo Pnl	
3455-3	Ser/Plas	Qn	AF		Y	Chloramphen SerPl-mCnc	
34553-8	Arterial system	-	CJM		N	Orthostatic BP Pnl	
34554-6	Ser/Plas/BldV	Qn	CJM		N	Lytes 1998 + Ven pH Pnl	
34555-3	Urine+Ser/Plas	Qn	CJM		N	Creat 24H Cl Pnl Ur+SerPl	
34556-1	Body fld	Qn	CJM		N	Cell Cnt Pnl Fld	
34557-9	Body fld	Qn	CJM		N	Cell Cnt + Diff Pnl Fld	
34558-7	Periton fld	Qn	CJM		N	Cell Cnt Pnl Prt	
34559-5	Synv fld	Qn	CJM		N	Cell Cnt Pnl Snv	
34560-3	Synv fld	Qn	CJM		N	Cell Cnt + Diff Pnl Snv	
3456-1	Ser/Plas	Ord	AT			Chlordiazep SerPl Ql	
34561-1	Plr fld	Qn	CJM		N	Cell Cnt Pnl Plr	
34562-9	Plr fld	Qn	CJM		N	Cell Cnt + Diff Pnl Plr	
3457-9	Ser/Plas	Qn	AF		Y	Chlordiazep SerPl-mCnc	
34579-3	Periton fld	Qn	3M		N	Basophils #/area Prt HPF	/[HPF]
34580-1	CSF	Ord	3M		N	Deprecated B dermat Ab CSF Ql	
34581-9	BldA	Qn	3M		N	Ca-I BldA-sCnc	mmol/L
34582-7	Ser	Ord	3M		N	Candida IgA Ser Ql	
34583-5	Ser	Ord	3M		N	Candida IgG Ql	
34584-3	Ser	Ord	3M		N	Candida IgM Ser Ql	
34585-0	Ser/Plas	Ord	3M		N	Inner Ear 68kD Ab SerPl Ql	
34586-8	Tiss	Ord	PHS		N	JCPyV DNA Tiss Ql PCR	
3458-7	Urine	Ord	AT			Chlordiazep Ur Ql	
34587-6	Ser/Plas	Qn	PHS		N	PPT SerPl-cCnc	
34588-4	^Tick	Qn	PHS		N	Feeding ?Tm Tick-Time	d
34589-2	PPP	Ord	PHS		N	vWF Cp PPP Ql	
345-9	Isolate+Ser	Qn	SH			Moxalactam Titr SBT	{titer}
34590-0	PPP	Ord	PHS		N	vWF Cp Inhib PPP Ql	
34591-8	Body fld	Ord	NYPHL		N	HIV1 Ab Fld Ql EIA	
34592-6	Body fld	Ord	NYPHL		N	HIV1 Ab Fld Ql IB	
34593-4	CSF	Qn	PHS		N	EBV DNA # CSF PCR	{copies}/mL
34594-2	Ser	Qn	PHS		N	Schistosoma Ab Titr Ser	{titer}
3459-5	Urine	Qn	AT		Y	Chlordiazep Ur-mCnc	
34595-9	Gast fld	Qn	PHS		N	Collect Tme Gast	
34596-7	CSF	Qn	PHS		N	3-o-methyldopa CSF-sCnc	
34597-5	Ser	Ord	PHS		N	HDV IgM Ser Ql	
34598-3	Urine	Ord	PHS		N	Sialate Ur Ql	
34599-1	Body fld	Qn	PHS		N	MTX Fld-mCnc	
34600-7	CSF	Ord	PHS		N	HC gene Rear CSF Ql	
34601-5	Body fld	Nom	PHS		N	Drugs Fld	
34602-3	Ser/Plas	Qn	PHS		N	E Ab Titr SerPl	{titer}
3460-3	Urine	Ord	AT			Chlormerodrin Ur Ql	
34603-1	Ser/Plas	Qn	PHS		N	I Ab Titr SerPl	{titer}
34604-9	Ser/Plas	Qn	PHS		N	M Ab Titr SerPl	{titer}
34605-6	Ser	Qn	PHS		N	Collagen2 Ab Ser-aCnc	
34606-4	CSF	Qn	PHS		N	Minocycline CSF-mCnc	
34607-2	Ser/Plas	Qn	PHS		N	B-IFN Ab SerPl-aCnc	
34608-0	Ser	Qn	PHS		N	Leishmania IgG Titr Ser	{titer}
34609-8	Bld	Qn	PHS		N	Transketolase Bld-cCnt	U/g{Hb}
34610-6	Urine	Qn	PHS		N	N-Ac-Asp/Creat Ur-mRto	mg/g{creat}
3461-1	Urine	Qn	AT		Y	Chlormerodrin 24H Ur-mCnc	
34611-4	Urine	Qn	PHS		N	PSA Ur-mCnc	
34612-2	Stool	Qn	PHS		N	Iron Stl-mCnc	ug/L
34613-0	Ser	Qn	PHS		N	HSV1+2 IgG Titr Ser	{titer}
34614-8	Cvm	Qn	PHS		N	Sperm IgM Cerv mucus-aCnc	
34615-5	Bld	Nom	PHS		N	Iron Bld K Ferrocyanide Stn	
34616-3	CSF	Nom	PHS		N	Amino acids CSF	
34617-1	XXX	Qn	PHS		N	Other Antibiotic XXX-mCnc	
34618-9	XXX	Ord	PHS		N	Hgb XXX Ql	
34619-7	Body fld	Qn	PHS		N	C1INH Functional Fld-mCnc	
34620-5	Body fld	Qn	PHS		N	Camphor Fld-mCnc	
34621-3	Ser	Qn	PHS		N	Liver Cytosol Ab Ser-aCnc	
34622-1	XXX	Qn	PHS		N	CD4+CD25+ Cells NFr XXX	%
34623-9	Ser	Qn	PHS		N	CTFV Ab Titr Ser	{titer}
34624-7	Ser/Plas	Qn	PHS		N	Cystine Free SerPl-sCnc	
34625-4	Ser	Qn	PHS		N	C diphtheriae Tox Ab Ser-aCnc	[IU]/mL
34626-2	Amnio fld	Qn	PHS		N	2Me-citrate Amn-sCnc	
34627-0	Amnio fld	Qn	PHS		N	Methylmalonate Amn-sCnc	
34628-8	CSF	Qn	PHS		N	MTX CSF-sCnc	
3462-9	Urine	Qn	AT		Y	Chlormerodrin Ur-mCnc	
34629-6	Urine	Qn	PHS		N	Cisplatin Ur-mCnc	
34630-4	CSF	Qn	PHS		N	Substance P CSF-mCnc	
34631-2	Urine	Qn	PHS		N	Cyproheptadine Ur-mCnc	
34632-0	Urine	Qn	PHS		N	Hydralazine Ur-mCnc	
34633-8	Urine	Nom	PHS		N	Sulfonyluric Hypogly Ur	
34634-6	WBC	Qn	PHS		N	CD11+CD18+ Cells # WBC	
34635-3	Ser/Plas	Qn	PHS		N	Citalopram SerPl-mCnc	
34636-1	CSF	Qn	PHS		N	Ciprofloxacin CSF-mCnc	
3463-7	Ser/Plas	Qn	AF		Y	Chloroquine SerPl-mCnc	
34637-9	CSF	Qn	PHS		N	5Me-tetrahydrofolate CSF-mCnc	
34638-7	CSF	Qn	PHS		N	Clarithro CSF-mCnc	
34639-5	CSF	Qn	PHS		N	EBV VCA IgA Titr CSF	{titer}
34640-3	Body fld	Qn	PHS		N	Bile Ac Fld-mCnc	ug/dL
34641-1	Ser/Plas	Nom	PHS		N	Prot Pattern SerPl-Imp	
34642-9	Ser	Qn	PHS		N	Thyroid Colloidal Ab Titr Ser	{titer}
34643-7	Isolate	OrdQn	PHS		N	Lopinavir Islt Phenotyp	
34644-5	Isolate	OrdQn	PHS		N	Tenofovir Islt Phenotyp	
3464-5	Ser/Plas	Qn	AF		Y	Chlorothiazide SerPl-mCnc	
34645-2	XXX	Ord	PHS		N	C pneum DNA XXX Ql PCR	
34646-0	Urine	Ord	PHS		N	Sulfatides Ur Ql	
34647-8	Bld/Tiss	Nar	PHS		N	PPT1 gene Mut Anal Bld/T	
34648-6	Stool	Qn	PHS		N	Specimen wt ?Tm Stl Qn	g
34649-4	Bld/Tiss	Nar	PHS		N	MERRF gene Mut Anal Bld/T	
34650-2	Bld/Tiss	Nar	PHS		N	TSC gene Mut Anal Bld/T	
34651-0	Bld/Tiss	Nar	PHS		N	CYP21A2 gene Mut Anal Bld/T	
3465-2	Ser/Plas	Ord	AT			Chlorphenir SerPl Ql	
34652-8	Ser	Qn	PHS		N	Panc Islet Cell Ab Ser-sCnc	nmol/L
34660-1	Bld	Qn	PHS		N	Hgb A2 MFr Bld Column Chrom	%
34661-9	Ser/Plas	Qn	PHS		N	Actin IgG SerPl-aCnc	
34662-7	Ser/Plas	Qn	PHS		N	Mephenytoin+nor SerPl-mCnc	mg/L
34663-5	Amnio fld	Ord	PHS		N	Hgb S Amn Ql	
34664-3	Ser	Ord	PHS		N	C bot Tox A Ab Ser Ql	
34665-0	CSF	Qn	PHS		N	TORCH Pnl CSF	
34666-8	Ser/Plas	Qn	PHS		N	Carisoprodol+Meprob SerPl-mCnc	mg/L
34677-5	Ser/Plas	Qn	PHS		N	Mitotic spindle app Ab Titr SerPl	{titer}
3467-8	Urine	Ord	AT			Chlorphenir Ur Ql	
34678-3	Bld/Tiss	Ord	PHS		N	Mito p.A155G Bld/T Ql	
34679-1	Bld/Tiss	Nar	PHS		N	PTPN11 gene Mut Anal Bld/T	
34680-9	Urine	Ord	PHS		N	Ceramide Trihexoside Ur Ql	
34681-7	XXX	Nar	PHS		N	Muscle Bx XXX-Imp	
34682-5	PPP	Qn	PHS		N	PT imm FV DP Time PPP	
34683-3	PPP	Qn	PHS		N	aPTT imm FIX DP Time PPP	
34684-1	PPP	Qn	PHS		N	aPTT imm FXIII DP Time PPP	
34685-8	PPP	Qn	PHS		N	PT imm FX DP Time PPP	
3468-6	Bld	Qn	AF		Y	Chlorphentermin Bld-mCnc	
34686-6	PPP	Qn	PHS		N	PT imm FII DP Time PPP	
34687-4	PPP	Qn	PHS		N	aPTT imm FXI DP Time PPP	
34688-2	PPP	Qn	PHS		N	aPTT imm FXII DP Time PPP	
34689-0	WBC	Qn	PHS		N	Sulfatidase WBC-cCnc	
34690-8	Ser/Plas	Ord	PHS		N	CV2 Ab SerPl Ql	
34691-6	Ser/Plas	Qn	PHS		N	ErythroaminoAlcohol SerPl-mCnc	ug/L
34692-4	Ser/Plas	Qn	PHS		N	Threoamino alcohol SerPl-mCnc	ug/L
34693-2	Ser/Plas	Qn	PHS		N	GALOP Ab Titr SerPl	{titer}
3469-4	Urine	Ord	AT			Chlorphentermin Ur Ql	
34694-0	Ser/Plas	Qn	PHS		N	VEGF SerPl-mCnc	
34695-7	Ser/Plas	Qn	PHS		N	VLDLc/Trigl SerPl-Rto	
34696-5	Semen	Nom	PHS		N	Collect Meth Smn	
34697-3	Ser/Plas	Qn	PHS		N	A1AT Act/Nor SerPl	%{normal}
34698-1	Bld/Tiss	Nar	PHS		N	CSTB gene Mut Anal Bld/T	
34699-9	Ser/Plas	Ord	PHS		N	HIV 2 proviral DNA SerPl Ql PCR	
34700-5	Isolate	Nom	PHS		N	HIV RT+PI gene Mut Tested Islt	
34701-3	Ser	Ord	PHS		N	Heparin Ind Platelet Ab Ser Ql	
34708-8	Urine	Ord	3M		N	Chlamydia DNA Ur Ql PCR	
34709-6	Nph	Ord	3M		N	C trach Ag Nph Ql	
3471-0	Ser/Plas	Qn	AT		Y	Chlorpromazine SerPl-mCnc	ng/mL
34710-4	Anal	Ord	3M		N	C trach Ag Anal Ql	
34711-2	Ser/Plas	Ord	3M		N	Cholinesterase SerPl Ql	
34712-0	Stool	Ord	3M		N	C dif Stl Ql	
34713-8	Stool	Ord	3M		N	C dif Tox A+B Stl Ql	
34714-6	Bld	Qn	3M		N	INR Bld	
34715-3	Hair	Ord	3M		N	Cocaine Hair Ql Scn	
34716-1	Ser	Qn	3M		N	C burnet Ph1 IgG Titr Ser IF	{titer}
34717-9	Ser	Qn	3M		N	C burnet Ph2 IgG Titr Ser IF	{titer}
34718-7	Amnio fld	Nom	3M		N	CFTR Mut Anal Amn	
34719-5	Amnio fld	Ord	3M		N	CMV DNA Amn Ql PCR	
34720-3	XXX	Qn	3M		N	CMV DNA XXX PCR-aCnc	
34721-1	CSF	Ord	3M		N	DENV IgM CSF Ql	
34722-9	Bld/Tiss	Nom	3M		N	EGR2 gene Mut Anal Bld/T	
34723-7	CSF	Qn	3M		N	EEEV Ab Titr CSF	{titer}
34724-5	CSF	Ord	3M		N	ECV4 Ab CSF Ql	
34725-2	CSF	Ord	3M		N	ECV7 Ab CSF Ql	
34726-0	Periton fld	Qn	3M		N	Eosinophil #/area Prt HPF	/[HPF]
34727-8	Bld/Tiss	Nom	3M		N	DMPK gene Mut Anal Bld/T	
3472-8	Urine	Ord	AT			Chlorpromazine Ur Ql	
34728-6	Bld	Qn	3M		N	CO2 Bld Calc-sCnc	mmol/L
34729-4	Bld/Tiss	Ord	3M		N	CFTR p.R117H+5T Var Bld/T Ql	
34730-2	XXX	Nom	3M		N	Chrom Break XXX-Imp	
34731-0	Bld/Tiss	Nom	3M		N	APOE allele1 Bld/T	
34732-8	Bld/Tiss	Nom	3M		N	APOE allele2 Bld/T	
34733-6	Bld/Tiss	Nom	3M		N	APOE allele3 Bld/T	
34734-4	Bld/Tiss	Nom	3M		N	Deprecated APOE Gentyp Bld/T-Imp	
34735-1	Bld/Tiss	Nom	3M		N	APOE allele4 Bld/T	
3473-6	Urine	Qn	AT		Y	Chlorpromazine Ur-mCnc	
34736-9	Urine	Qn	3M		N	CaOx index 24H Ur-Rto	
34737-7	Ser/Plas	Nom	PHS		N	NuMA Ab SerPl-Imp	
34738-5	Ser/Plas	Qn	PHS		N	K Ab Titr SerPl	{titer}
34739-3	Bld/Tiss	Nar	PHS		N	NR0B1 gene Mut Anal Bld/T	
34740-1	Bld/Tiss	Nar	PHS		N	NEFL gene Mut Anal Bld/T	
34741-9	Bld/Tiss	Nom	PHS		N	RHCE gene Mut Anal Bld/T	
34742-7	Bld	Qn	PHS		N	Chrom Break Bld DEB-aCnc	
34743-5	Bld	Ord	PHS		N	Hgb stab Bld Ql IPS	
3474-4	Ser/Plas	Qn	AF		Y	Chlorpropamide SerPl-mCnc	ug/mL
34744-3	{Setting}	Doc	SH		N	Nursing Admit eval note	
34745-0	{Setting}	Doc	SH		N	Nursing Discharge summary	
34746-8	{Setting}	Doc	SH		N	Nursing E/M note	
34747-6	{Setting}	Doc	SH		N	Nursing Pre-op E/M note	
34748-4	{Setting}	Doc	SH		N	Phone encounter note	
34749-2	Outpatient	Doc	SH		N	Anesthesia OP Consult note	
347-5	Isolate	OrdQn	SH			Nafcillin Islt MIC	
34750-0	{Setting}	Doc	SH		N	Anesthesia E/M note	
3475-1	Bld	Qn	AF		Y	Chlorprothixene Bld-mCnc	
34751-8	{Setting}	Doc	SH		N	Anesthesia Pre-op E/M note	
34752-6	{Setting}	Doc	SH		N	Cardiology E/M note	
34753-4	Outpatient	Doc	SH		N	Cardiology OP E/M note	
34754-2	{Setting}	Doc	SH		N	Critical Care E/M note	
34755-9	{Setting}	Doc	SH		N	Critical Care Transfer summary note	
34756-7	{Setting}	Doc	SH		N	Dentistry Consult note	
34757-5	{Setting}	Doc	SH		N	Dentistry E/M note	
34758-3	{Setting}	Doc	SH		N	Dermatology Consult note	
34759-1	{Setting}	Doc	SH		N	Dermatology E/M note	
34760-9	{Setting}	Doc	SH		N	Diabetology Consult note	
34761-7	{Setting}	Doc	SH		N	Gastroenterology Consult note	
34762-5	{Setting}	Doc	SH		N	Gastroenterology E/M note	
34763-3	{Setting}	Doc	SH		N	General medicine Admit H&P note	
34764-1	{Setting}	Doc	SH		N	General medicine Consult note	
34765-8	{Setting}	Doc	SH		N	General medicine E/M note	
34766-6	Outpatient	Doc	SH		N	General medicine OP E/M note	
34767-4	{Setting}	Doc	SH		N	Med student.gen med E/M note	
34768-2	{Setting}	Doc	SH		N	Nurse.gen med E/M note	
3476-9	Ser/Plas	Qn	AT		Y	Chlorprothixene SerPl-mCnc	
34769-0	{Setting}	Doc	SH		N	AP.gen med E/M note	
34770-8	{Setting}	Doc	SH		N	General medicine Transfer summary note	
34771-6	{Setting}	Doc	SH		N	General surgery Consult note	
34772-4	{Setting}	Doc	SH		N	General surgery E/M note	
34773-2	{Setting}	Doc	SH		N	AP.gen surg E/M note	
34774-0	{Setting}	Doc	SH		N	General surgery H&P note	
34775-7	{Setting}	Doc	SH		N	General surgery Pre-op E/M note	
34776-5	{Setting}	Doc	SH		N	Gerontology Consult note	
3477-7	Urine	Qn	AF		Y	Chlorprothixene Ur-mCnc	
34777-3	{Setting}	Doc	SH		N	Gynecology Consult note	
34778-1	{Setting}	Doc	SH		N	Gynecology E/M note	
34779-9	{Setting}	Doc	SH		N	Hematology+Oncology Consult note	
34780-7	{Setting}	Doc	SH		N	Hematology+Oncology E/M note	
34781-5	{Setting}	Doc	SH		N	Infectious disease Consult note	
34782-3	{Setting}	Doc	SH		N	Infectious disease E/M note	
34783-1	{Setting}	Doc	SH		N	Kinesiotherapy Consult note	
34784-9	{Setting}	Doc	SH		N	Kinesiotherapy E/M note	
3478-5	Urine	Ord	AT			Chlorthalidone Ur Ql	
34785-6	{Setting}	Doc	SH		N	Mental health Consult note	
34786-4	{Setting}	Doc	SH		N	Mental health E/M note	
34787-2	{Setting}	Doc	SH		N	Mental health Group counseling note	
34788-0	{Setting}	Doc	SH		N	Psychiatric Consult note	
34789-8	{Setting}	Doc	SH		N	Psychiatric E/M note	
34790-6	{Setting}	Doc	SH		N	Psychiatric Group counseling note	
34791-4	{Setting}	Doc	SH		N	Psychology Consult note	
34792-2	{Setting}	Doc	SH		N	Psychology E/M note	
3479-3	Urine	Qn	AT		Y	Chlorthalidone Ur-mCnc	ug/mL
34793-0	{Setting}	Doc	SH		N	Psychology Group counseling note	
34794-8	{Setting}	Doc	SH		N	Multidisciplinary E/M note	
34795-5	{Setting}	Doc	SH		N	Nephrology Consult note	
34796-3	{Setting}	Doc	SH		N	Nephrology E/M note	
34797-1	{Setting}	Doc	SH		N	Neurology Consult note	
34806-0	{Setting}	Doc	SH		N	Oncology E/M note	
34807-8	{Setting}	Doc	SH		N	Ophthalmology Consult note	
34808-6	{Setting}	Doc	SH		N	Ophthalmology E/M note	
34809-4	{Setting}	Doc	SH		N	Ophthalmology Pre-op E/M note	
34810-2	{Setting}	Doc	SH		N	Optometry Consult note	
34811-0	{Setting}	Doc	SH		N	Optometry E/M note	
34812-8	{Setting}	Doc	SH		N	Oromaxillofacial Surgery Consult note	
34813-6	{Setting}	Doc	SH		N	Oromaxillofacial Surgery E/M note	
34814-4	{Setting}	Doc	SH		N	Orthopedics Consult note	
34815-1	{Setting}	Doc	SH		N	Orthopedics E/M note	
34816-9	{Setting}	Doc	SH		N	Otorhinolaryngology Consult note	
34817-7	{Setting}	Doc	SH		N	Otorhinolaryngology E/M note	
34818-5	{Setting}	Doc	SH		N	Otorhinolaryngology Operative note	
3481-9	Ser/Plas	Ord	AT			Cimetidine SerPl Ql	
34819-3	{Setting}	Doc	SH		N	Pathology E/M note	
34820-1	{Setting}	Doc	SH		N	Pharmacy Consult note	
34821-9	{Setting}	Doc	SH		N	Pharmacy E/M note	
34822-7	{Setting}	Doc	SH		N	Physical med+rehab Consult note	
34823-5	{Setting}	Doc	SH		N	Physical med+rehab E/M note	
34824-3	{Setting}	Doc	SH		N	Physical therapy Consult note	
34825-0	{Setting}	Doc	SH		N	Physical therapy E/M note	
34826-8	{Setting}	Doc	SH		N	Plastic surgery Consult note	
3482-7	Ser/Plas	Qn	AF		Y	Cimetidine SerPl-mCnc	
34827-6	{Setting}	Doc	SH		N	Plastic surgery E/M note	
34828-4	{Setting}	Doc	SH		N	Podiatry Consult note	
34829-2	{Setting}	Doc	SH		N	Podiatry E/M note	
348-3	Isolate	OrdQn	SH			Nafcillin Islt KB	
34830-0	{Setting}	Doc	SH		N	Pulmonary E/M note	
34831-8	{Setting}	Doc	SH		N	Radiation oncology Consult note	
34832-6	{Setting}	Doc	SH		N	Radiation oncology E/M note	
34833-4	{Setting}	Doc	SH		N	Recreational therapy Consult note	
34834-2	{Setting}	Doc	SH		N	Recreational therapy E/M note	
3483-5	Urine	Ord	AT			Cimetidine Ur Ql	
34835-9	{Setting}	Doc	SH		N	Rehabilitation Consult note	
34836-7	{Setting}	Doc	SH		N	Rehabilitation E/M note	
34837-5	{Setting}	Doc	SH		N	Respiratory therapy Consult note	
34838-3	{Setting}	Doc	SH		N	Respiratory therapy E/M note	
34839-1	{Setting}	Doc	SH		N	Rheumatology Consult note	
34840-9	{Setting}	Doc	SH		N	Rheumatology E/M note	
34841-7	{Setting}	Doc	SH		N	Social work Consult note	
34842-5	{Setting}	Doc	SH		N	Social work E/M note	
3484-3	Ser/Plas	Qn			Y	Ciprofloxacin SerPl-mCnc	ug/mL
34843-3	{Setting}	Doc	SH		N	Social work Group counseling note	
34844-1	Outpatient	Doc	SH		N	Social work OP Phone encounter note	
34845-8	{Setting}	Doc	SH		N	Speech therapy+Audiology Consult note	
34846-6	{Setting}	Doc	SH		N	Speech therapy+Audiology E/M note	
34847-4	{Setting}	Doc	SH		N	Surgery Consult note	
34848-2	{Setting}	Doc	SH		N	Surgery E/M note	
34849-0	{Setting}	Doc	SH		N	Thoracic surgery Consult note	
3485-0	Ser/Plas	Qn	AF		Y	Cisplatin SerPl-mCnc	
34850-8	Outpatient	Doc	SH		N	Thoracic surgery OP E/M note	
34851-6	{Setting}	Doc	SH		N	Urology Consult note	
34852-4	{Setting}	Doc	SH		N	Urology E/M note	
34853-2	{Setting}	Doc	SH		N	Vascular surgery Consult note	
34854-0	Outpatient	Doc	SH		N	Vascular surgery OP E/M note	
34855-7	{Setting}	Doc	SH		N	Occupational therapy Consult note	
34856-5	{Setting}	Doc	SH		N	Anticoagulation E/M note	
34857-3	{Setting}	Doc	SH		N	Substance Abuse E/M note	
34858-1	{Setting}	Doc	SH		N	Pain Management E/M note	
34859-9	{Setting}	Doc	SH		N	Hyperlipidemia E/M note	
34860-7	{Setting}	Doc	SH		N	Hypertension E/M note	
3488-4	Urine	Ord	AT			Clobenzorex Ur Ql	
34884-7	Ser	Qn	JTC		N	H paragallinar Ab Ser EIA-aCnc	
34885-4	Ser	Ord	JTC		N	AHSV Ab Ser Ql IF	
34886-2	Ser	Qn	JTC		N	RHDV Ab Titr Ser Nt	{titer}
34887-0	Tiss	Ord	JTC		N	PPRV Ag Tiss Ql IF	
34888-8	Ser	Qn	JTC		N	AINOV Ab Titr Ser Nt	{titer}
34889-6	Ser	Qn	JTC		N	AKAV Ab Titr Ser Nt	{titer}
34890-4	XXX	Qn	JTC		N	Coliform # XXX Viab Cnt	
34891-2	XXX	Ord	JTC		N	S enteritid XXX Ql Cult	
3489-2	Urine	Qn	AT		Y	Clobenzorex Ur-mCnc	
34892-0	XXX	Ord	JTC		N	WNV RNA XXX Ql PCR	
34893-8	Ser	Qn	KM		N	AINOV Ab Titr Ser	{titer}
34894-6	Ser	Qn	KM		N	AKAV Ab Titr Ser	{titer}
34895-3	{Setting}	Doc	SH		N	Educ note	
34896-1	{Setting}	Doc	SH		N	Cardiology Interv proced note	
34897-9	{Setting}	Doc	SH		N	Diabetology Educ note	
34898-7	{Setting}	Doc	SH		N	Endocrinology E/M note	
34899-5	{Setting}	Doc	SH		N	Gastroenterology Interv proced note	
34-9	Isolate+Ser	Qn	SH			Ampicillin+Sulbac Titr SBT	{titer}
3490-0	Ser/Plas	Qn	AF		Y	Clofibrate SerPl-mCnc	
34900-1	{Setting}	Doc	SH		N	General medicine Progress note	
34901-9	Outpatient	Doc	SH		N	General medicine OP Progress note	
34902-7	Outpatient	Doc	SH		N	Gerontology OP Educ note	
34903-5	{Setting}	Doc	SH		N	Mental health Note	
34904-3	{Setting}	Doc	SH		N	Mental health Progress note	
34905-0	{Setting}	Doc	SH		N	Neurology E/M note	
34906-8	{Setting}	Doc	SH		N	Pastoral Care Note	
34907-6	Ser/Plas	Qn	CDISC		N	Calcium TP cor SerPl-mCnc	mg/dL
34908-4	Ser/Plas	Qn	CDISC		N	Neopterin SerPl-mCnc	ng/mL
34909-2	Urine	Qn	CDISC		N	Cortis F 24H Ur HPLC-mCnc	ug/mL
349-1	Isolate+Ser	Qn	SH			Nafcillin Titr SBT	{titer}
